code,level,costWood,costClay,costIron,costCrop,costGold,timeSec,popCap,prod,treasureSlots,storagePerLevel,defensePerLevel,buildSpeedupPerLevel,trainTimeReducePerLevel,trainCostReducePerLevel,taskRefreshSec,taskMaxTasks,taskSideQuestChance,vaultProtectWood,vaultProtectClay,vaultProtectIron,vaultProtectCrop,vaultProtectGold
claypit,2,123,98,98,74,2,395,1,1300,,,,,,,,,,,,,,
claypit,3,229,197,164,98,3,836,1,1690,,,,,,,,,,,,,,
claypit,4,384,336,288,192,6,1424,1,2197,,,,,,,,,,,,,,
claypit,5,700,573,509,318,11,2152,1,2856,,,,,,,,,,,,,,
claypit,6,1197,1026,855,598,18,3015,1,3713,,,,,,,,,,,,,,
claypit,7,2105,1754,1520,1053,32,4010,2,4827,,,,,,,,,,,,,,
claypit,8,3648,3172,2696,1745,56,5134,2,6275,,,,,,,,,,,,,,
claypit,9,6349,5473,4817,3065,99,6383,2,8157,,,,,,,,,,,,,,
claypit,10,11094,9594,8395,5397,172,7757,2,10604,,,,,,,,,,,,,,
ironmine,1,69,69,52,34,1,110,3,1000,,,,,,,,,,,,,,
ironmine,2,123,98,98,74,2,395,1,1300,,,,,,,,,,,,,,
ironmine,3,229,197,164,98,3,836,1,1690,,,,,,,,,,,,,,
ironmine,4,384,336,288,192,6,1424,1,2197,,,,,,,,,,,,,,
ironmine,5,700,573,509,318,11,2152,1,2856,,,,,,,,,,,,,,
ironmine,6,1197,1026,855,598,18,3015,2,3713,,,,,,,,,,,,,,
ironmine,7,2105,1754,1520,1053,32,4010,2,4827,,,,,,,,,,,,,,
ironmine,8,3648,3172,2696,1745,56,5134,2,6275,,,,,,,,,,,,,,
ironmine,9,6349,5473,4817,3065,99,6383,2,8157,,,,,,,,,,,,,,
ironmine,10,11094,9594,8395,5397,172,7757,2,10604,,,,,,,,,,,,,,
cropland,1,69,69,52,34,1,110,1,1000,,,,,,,,,,,,,,
cropland,2,123,98,98,74,2,395,0,1300,,,,,,,,,,,,,,
cropland,3,229,197,164,98,3,836,0,1690,,,,,,,,,,,,,,
cropland,4,384,336,288,192,6,1424,0,2197,,,,,,,,,,,,,,
cropland,5,700,573,509,318,11,2152,0,2856,,,,,,,,,,,,,,
cropland,6,1197,1026,855,598,18,3015,1,3713,,,,,,,,,,,,,,
cropland,7,2105,1754,1520,1053,32,4010,1,4827,,,,,,,,,,,,,,
cropland,8,3648,3172,2696,1745,56,5134,1,6275,,,,,,,,,,,,,,
cropland,9,6349,5473,4817,3065,99,6383,1,8157,,,,,,,,,,,,,,
cropland,10,11094,9594,8395,5397,172,7757,1,10604,,,,,,,,,,,,,,
hospital,1,108,108,81,54,2,172,4,,,,,,,,,,,,,,,
hospital,2,193,154,154,116,3,621,1,,,,,,,,,,,,,,,
hospital,3,360,309,257,154,5,1314,1,,,,,,,,,,,,,,,
hospital,4,604,529,453,302,9,2238,2,,,,,,,,,,,,,,,
hospital,5,1100,900,800,500,17,3381,2,,,,,,,,,,,,,,,
hospital,6,1881,1612,1343,940,29,4738,2,,,,,,,,,,,,,,,
hospital,7,3309,2758,2390,1655,51,6301,2,,,,,,,,,,,,,,,
hospital,8,5731,4984,4236,2741,88,8067,3,,,,,,,,,,,,,,,
hospital,9,9977,8601,7569,4817,155,10031,3,,,,,,,,,,,,,,,
hospital,10,17433,15077,13193,8481,271,12190,3,,,,,,,,,,,,,,,
residence,1,98,98,74,49,2,157,8,,,,,,,,,,,,,,,
residence,2,175,140,140,105,3,564,2,,,,,,,,,,,,,,,
residence,3,327,280,233,140,5,1195,2,,,,,,,,,,,,,,,
residence,4,549,480,412,275,9,2034,3,,,,,,,,,,,,,,,
residence,5,1000,818,727,455,15,3074,3,,,,,,,,,,,,,,,
residence,6,1710,1466,1221,855,26,4307,4,,,,,,,,,,,,,,,
residence,7,3008,2507,2173,1504,46,5728,5,,,,,,,,,,,,,,,
residence,8,5210,4531,3851,2492,80,7334,5,,,,,,,,,,,,,,,
residence,9,9070,7819,6881,4379,141,9119,6,,,,,,,,,,,,,,,
residence,10,15849,13707,11994,7710,246,11082,6,,,,,,,,,,,,,,,
mercenarycamp,1,89,107,71,53,2,157,0,,,,,,,,,,,,,,,
mercenarycamp,2,160,183,126,91,3,564,0,,,,,,,,,,,,,,,
mercenarycamp,3,288,317,216,159,5,1195,0,,,,,,,,,,,,,,,
mercenarycamp,4,517,554,369,277,9,2034,0,,,,,,,,,,,,,,,
mercenarycamp,5,877,969,646,508,15,3074,0,,,,,,,,,,,,,,,
mercenarycamp,6,1517,1692,1167,875,26,4307,0,,,,,,,,,,,,,,,
mercenarycamp,7,2637,2938,2034,1582,46,5728,0,,,,,,,,,,,,,,,
mercenarycamp,8,4679,5166,3509,2729,80,7334,0,,,,,,,,,,,,,,,
mercenarycamp,9,8168,9048,6157,4775,141,9119,0,,,,,,,,,,,,,,,
mercenarycamp,10,14301,15890,10805,8263,246,11082,0,,,,,,,,,,,,,,,
tradecenter,1,89,107,71,53,2,157,0,,,,,,,,,,,,,,,
tradecenter,2,160,183,126,91,3,564,0,,,,,,,,,,,,,,,
tradecenter,3,288,317,216,159,5,1195,0,,,,,,,,,,,,,,,
tradecenter,4,517,554,369,277,9,2034,0,,,,,,,,,,,,,,,
tradecenter,5,877,969,646,508,15,3074,0,,,,,,,,,,,,,,,
tradecenter,6,1517,1692,1167,875,26,4307,0,,,,,,,,,,,,,,,
tradecenter,7,2637,2938,2034,1582,46,5728,0,,,,,,,,,,,,,,,
tradecenter,8,4679,5166,3509,2729,80,7334,0,,,,,,,,,,,,,,,
tradecenter,9,8168,9048,6157,4775,141,9119,0,,,,,,,,,,,,,,,
tradecenter,10,14301,15890,10805,8263,246,11082,0,,,,,,,,,,,,,,,
treasury,1,98,98,74,49,2,157,8,,1,,,,,,,,,,,,,
treasury,2,175,140,140,105,3,564,8,,1,,,,,,,,,,,,,
treasury,3,327,280,233,140,5,1195,8,,1,,,,,,,,,,,,,
treasury,4,549,480,412,275,9,2034,8,,1,,,,,,,,,,,,,
treasury,5,1000,818,727,455,15,3074,8,,1,,,,,,,,,,,,,
treasury,6,1710,1466,1221,855,26,4307,8,,1,,,,,,,,,,,,,
treasury,7,3008,2507,2173,1504,46,5728,8,,1,,,,,,,,,,,,,
treasury,8,5210,4531,3851,2492,80,7334,8,,1,,,,,,,,,,,,,
treasury,9,9070,7819,6881,4379,141,9119,8,,1,,,,,,,,,,,,,
treasury,10,15849,13707,11994,7710,246,11082,8,,1,,,,,,,,,,,,,
academy,1,117,101,84,50,2,172,3,,,,,,,,,,,,,,,
academy,2,212,170,149,85,3,621,1,,,,,,,,,,,,,,,
academy,3,379,292,263,146,5,1314,1,,,,,,,,,,,,,,,
academy,4,671,503,462,252,9,2238,1,,,,,,,,,,,,,,,
academy,5,1183,872,809,436,17,3381,1,,,,,,,,,,,,,,,
academy,6,2083,1515,1420,758,29,4738,2,,,,,,,,,,,,,,,
academy,7,3664,2638,2491,1319,51,6301,2,,,,,,,,,,,,,,,
academy,8,6433,4595,4366,2298,88,8067,2,,,,,,,,,,,,,,,
academy,9,11293,8014,7650,4007,155,10031,2,,,,,,,,,,,,,,,
academy,10,19809,13983,13400,6991,271,12190,2,,,,,,,,,,,,,,,
tavern,1,85,85,68,51,1,141,0,,,,,,,,21600,2,0.2,,,,,
tavern,2,147,147,119,92,3,508,0,,,,,,,,18000,3,0.2,,,,,
tavern,3,257,257,206,164,4,1075,0,,,,,,,,14400,4,0.2,,,,,
tavern,4,451,451,356,285,8,1831,0,,,,,,,,10800,5,0.2,,,,,
tavern,5,783,783,630,504,14,2767,0,,,,,,,,7200,6,0.2,,,,,
alchemy,1,88,88,88,88,2,172,0,,,,,,,,,,,,,,,
vault,1,80,80,80,80,2,157,0,,,,,,,,,,,100,100,100,100,1000
vault,2,140,140,140,140,3,564,0,,,,,,,,,,,150,150,150,150,1500
vault,3,245,245,245,245,5,1195,0,,,,,,,,,,,200,200,200,200,2000
vault,4,429,429,429,429,9,2034,0,,,,,,,,,,,250,250,250,250,2500
vault,5,750,750,750,750,15,3074,0,,,,,,,,,,,300,300,300,300,3000
vault,6,1313,1313,1313,1313,26,4307,0,,,,,,,,,,,350,350,350,350,3500
vault,7,2298,2298,2298,2298,46,5728,0,,,,,,,,,,,400,400,400,400,4000
vault,8,4021,4021,4021,4021,80,7334,0,,,,,,,,,,,450,450,450,450,4500
vault,9,7037,7037,7037,7037,141,9119,0,,,,,,,,,,,500,500,500,500,5000
vault,10,12315,12315,12315,12315,246,11082,0,,,,,,,,,,,550,550,550,550,5500
council,1,107,96,85,64,2,172,5,,,,,,,,,,,,,,,
council,2,184,168,147,116,3,621,5,,,,,,,,,,,,,,,
council,3,316,290,263,211,5,1314,5,,,,,,,,,,,,,,,
council,4,539,512,459,378,9,2238,5,,,,,,,,,,,,,,,
council,5,926,868,811,695,17,3381,5,,,,,,,,,,,,,,,
explorers_guild,1,91,73,55,37,1,125,0,,,,,,,,,,,,,,,
alliance_hall,1,134,121,94,67,2,203,0,,,,,,,,,,,,,,,
alliance_hall,2,235,211,164,117,4,734,0,,,,,,,,,,,,,,,
alliance_hall,3,411,370,288,206,6,1553,0,,,,,,,,,,,,,,,
alliance_hall,4,719,647,503,359,11,2645,0,,,,,,,,,,,,,,,
alliance_hall,5,1258,1132,881,629,20,3996,0,,,,,,,,,,,,,,,
alliance_hall,6,2203,1982,1542,1102,34,5599,0,,,,,,,,,,,,,,,
alliance_hall,7,3854,3469,2698,1928,60,7447,0,,,,,,,,,,,,,,,
alliance_hall,8,6745,6071,4722,3374,105,9534,0,,,,,,,,,,,,,,,
alliance_hall,9,11802,10622,8263,5904,183,11855,0,,,,,,,,,,,,,,,
alliance_hall,10,20654,18589,14460,10333,320,14407,0,,,,,,,,,,,,,,,
